Country Name,Country Code,Population 2023
France,FRA,67935660
Germany,DEU,83294633
Italy,ITA,58870762
Spain,ESP,48373336
Poland,POL,38307726
Romania,ROU,18326327
Netherlands,NLD,17879488
Belgium,BEL,11697557
Czech Republic,CZE,10495295
Greece,GRC,10341277
Portugal,PRT,10467366
Sweden,SWE,10612086
Hungary,HUN,9676135
Austria,AUT,9120813
Bulgaria,BGR,6465097
Denmark,DNK,5910913
Finland,FIN,5545475
Slovakia,SVK,5428792
Ireland,IRL,5255017
Croatia,HRV,3853200
